,Tweet_Text,created,Twitter_screenname,Followers,id,location
0,@hemendu @JM_Scindia @PMOIndia @airindiain @AAI_Official @USAndIndia Shame @airindia very painful to see the worst act of AIRINDIA,2022-05-07 15:00:21+00:00,Krishan48622838,0,1.52E+18,PANCHKULA
1,"Heard a lot about @airindiain, reason to have ticket for my 1st IN trip. Had to cancelled it on 2.4.22, the situati… https://t.co/jrVI7CeqCK",2022-05-07 14:56:43+00:00,Akkumar_,77,1.52E+18,#Delhi_India_Earth 
2,"RT @Dastanagoi: Pathetic service of @makemytrip.
I booked @AirIndia travel tickets to France from them with partial cancellation. Sadly, my…",2022-05-07 14:55:20+00:00,haakubaarajesha,1,1.52E+18,"Bengaluru, India"
3,"@virsanghvi @airindiain @IndiGo6E @TataCompanies I don't understand, why do you choose AirIndia to travel?",2022-05-07 14:46:01+00:00,HumSaoEkHein,7,1.52E+18,
4,"RT @madhukishwar: Surprised that @AirIndia behaving no better after #Gharwapsi to the #HouseOfTatas.
Flight delayed without clarity about w…",2022-05-07 13:59:04+00:00,gautam18381,169,1.52E+18,
5,@airindiain @Pib_MoCA AI537 =&gt; This is the condition of tea cup in AirIndia flight. Please at-least improve some qu… https://t.co/V2VxXHq0J3,2022-05-07 13:46:04+00:00,Mukesh43616982,3,1.52E+18,
6,"@AshwiniVaishnaw @narendramodi @RahulGandhi 
Why Indian railways is not giving senior citizens concession? Airindia… https://t.co/iME4N5Jl7l",2022-05-07 13:44:49+00:00,DRSHASHISPANDE2,29,1.52E+18,"Mumbai, India"
7,"On This Day 07/05

#neatsocials #todayinhistory #onthisday #historyonthisday #trending #onday07
#kolkata #airindia… https://t.co/R2gcBMVVLI",2022-05-07 12:45:43+00:00,neat_socials,19,1.52E+18,"Bhubaneswar,Odisha"
8,@abhaybhagat @airindiaexpress Yes but only as checked luggage and that too passenger has to ensure that it is prope… https://t.co/PFUfG1LQeS,2022-05-07 12:35:07+00:00,swayampdash,134,1.52E+18,Bengaluru
9,@AktaPatel7 @aniartist @airindiain @Animatry Hi My parents and wife with my daughter are on the same flight. Flight… https://t.co/Zn14QkIRvT,2022-05-07 12:22:31+00:00,uv_ethanhunt,127,1.52E+18,Ahmedabad
10,"@SminuJindal @airindiain @RNTata2000 @JM_Scindia For the millionth time what is the update on my refund

Booking re… https://t.co/iQZQmSigx3",2022-05-07 11:38:37+00:00,_ThisIsHari_,2,1.52E+18,Україна
