,Tweet_Text,created,Twitter_screenname,Followers,id,location
0,RT @TrichyAviation: @STANLEY97783921 @TataCompanies @airvistara @FlyWithIX @IndiGo6E @flyscoot @ChangiAirport @SingaporeAir @SingaporeCAAS…,2022-05-07 18:12:28+00:00,mi_habeeb,27,1.523E+18,Namakkal
1,"RT @airvistara: Fly Daily Direct to Delhi, Mumbai and Bengaluru from Coimbatore and rekindle the joy of Travelling.",2022-05-07 18:12:12+00:00,iam_KuttyPrem,262,1.523E+18,Cuddalore_M.Pudhur
2,"RT @TrichyAviation: 🇸🇬 16,287 pax with 90% of load were travelled from Trichy to Singapore during April. Singapore Airlines / Vistara will…",2022-05-07 18:11:46+00:00,mi_habeeb,27,1.523E+18,Namakkal
3,I mostly tweet about bad experiences with brands but this one's different. @airvistara really seems to have upped the entire experience. Even the spread and quality of food is markedly enhanced than what i saw 100 days ago. #UK776,2022-05-07 18:11:33+00:00,tirthankar_s,419,1.523E+18,Mumbai
4,"@i_thyagarajubm @airvistara Coming to Mysuru, sir?",2022-05-07 17:47:46+00:00,thestratink,41,1.523E+18,
5,@sandipsabharwal @DGCA_India @JM_Scindia @airvistara Wasted a day and paid for room in chennai and Delhi. I will never again book tickets in @airvistara,2022-05-07 17:44:39+00:00,Thiyanes7,11,1.523E+18,
6,"@sandipsabharwal @DGCA_India @JM_Scindia At last they convinced me and arranged tickets to delhi on the same day evening, and next morning to kolkata instead of direct flight from chennai to kolkata @airvistara",2022-05-07 17:42:36+00:00,Thiyanes7,11,1.523E+18,
7,"@TajHotels Done 👍 
Waiting for @airindiain @airvistara @StarbucksIndia

Thank You",2022-05-07 17:42:10+00:00,RDXThinksThat,31071,1.523E+18,India
8,"RT @cskkanu: @TheSanjivKapoor What about this news article

Indian Men will not allow any kind of #MaleHatred now

We cannot accept your su…",2022-05-07 17:38:44+00:00,GSBorikar,487,1.52299E+18,"मुंबई, भारत"
9,RT @Amit16851728: @cskkanu @TheSanjivKapoor @IndiGo6E @airvistara @airindiain @GEAviation @vaastavngo @sifchandigarh @SFFNGO @DaamanNGO @si…,2022-05-07 17:38:40+00:00,GSBorikar,487,1.52299E+18,"मुंबई, भारत"
