,Tweet_Text,created,Twitter_screenname,Followers,id,location
0,@IndiGo6E It's Mumbai .!!! ❤,2022-05-07 18:04:30+00:00,anandbalkrishna,19,1.523E+18,India
1,@IndiGo6E @RGIAHyd please let me know of the process of carrying drone if i don't have a checkin bag,2022-05-07 18:04:01+00:00,pankaj95k,24,1.523E+18,
2,"@IndiGo6E I've a flight from New Delhi to Chennai, I would like a prepone it a day earlier due to unavoidable changes please help.",2022-05-07 17:57:53+00:00,SarveshSauravt,36,1.523E+18,
3,"@IndiGo6E Hey @IndiGo6E please help me with a urgent cancellation, my sister had a flight booked for next week but due to unfortunate circumstances she is been hospitalised. Please help with us with cancellation and refund. :( Guys please tag them in comm",2022-05-07 17:54:38+00:00,Kiran_Surve,41,1.523E+18,"Mumbai, India"
4,@IndiGo6E Thanks. Rescheduling the flight is showing charges applicable on this link. I want to understand due to this current pandemic situation suddenly in the picture. Can we reschedule or cancel this booking at no cost? #COVID19,2022-05-07 17:53:33+00:00,akshatraj2606,25,1.523E+18,"Pune, India"
5,@IndiGo6E Indigo plz start flight patna to dehradun,2022-05-07 17:50:36+00:00,AnandRasganiya,69,1.523E+18,
6,"I am appalled at the way 
@IndiGo6E  Mumbai has handled the case of my 9 year old daughter's left out check-in baggage. It has been 3 days and they have still not been able to send it to her destination. Shame! Stefi and Jasmeet from Mumbai Indigo baggage team PLEASE WAKE UP!!!😡",2022-05-07 17:48:06+00:00,RiddimaZaveri,0,1.523E+18,
7,@_sirius93_ @IndiGo6E Thanks for hacke indigo website.,2022-05-07 17:46:26+00:00,RCanbe07,1,1.523E+18,
8,RT @sonalbhutra: @IndiGo6E I have replied to you. Its not about being able to board finally. I am trying to understand on what basis do you…,2022-05-07 17:46:21+00:00,ArchanaVaidya5,156,1.523E+18,"Mumbai, India "
9,RT @RomeshSankhe: @yavano_oruvan @GoFirstairways @IndiGo6E Yup .. While flying between #Mumbai to #Chennai or vice versa #Marathi &amp; #Tamil…,2022-05-07 17:45:43+00:00,onlynilesh4u,344,1.523E+18,"Pune, India"
10,"RT @yavano_oruvan: @GoFirstairways @RomeshSankhe 👇 dedicating to you!

CC @IndiGo6E

#StopHindiImposition https://t.co/tZzMJFJrHh",2022-05-07 17:45:35+00:00,onlynilesh4u,344,1.523E+18,"Pune, India"
11,"RT @aaihbxairport: Greetings to all , please find the details of  flights Scheduled at @aaihbxairport on 08th May  2022. @aaihbxairport wis…",2022-05-07 17:44:55+00:00,talwar_vinayak,202,1.523E+18,"Karnataka, India"
12,RT @laxmandinesh: @IndiGo6E Hyderabad is one of the best in India,2022-05-07 17:43:27+00:00,Hyderabad_Bot,2781,1.523E+18,Location
13,@IndiGo6E Hyderabad is one of the best in India,2022-05-07 17:43:23+00:00,laxmandinesh,537,1.523E+18,"Chennai , India "
14,@IndiGo6E Thank you so much for quick revert! I’ve dm’ed you the pictures as you said. Hope that helps!! Will look forward to hear from you. Thank you again.,2022-05-07 17:43:17+00:00,saurabh_dayama,201,1.523E+18,Couch 
15,"If at all a fourth wave were to hit Pune, @IndiGo6E baggage drop crowding will be the super spreader! ! Understaffed",2022-05-07 17:41:37+00:00,rajaryank,1070,1.523E+18,"Pune, India"
16,"RT @sonalbhutra: Having experienced this personally today with ⁦@IndiGo6E⁩ , action is a must. Reached the counter an hour prior to the fli…",2022-05-07 17:40:52+00:00,Captjoealfred,209,1.52299E+18,"Bengaluru South, India"
17,"@IndiGo6E You guys ask whether the passenger is Doctor then you give same PNR number and earning 8 hrs of layover in Delhi….
No place to rest…. Lounge facilities denied
👏🏻👏🏻👏🏻
Why is Indigo ( @IndiGo6E ) so Poor?",2022-05-07 17:38:50+00:00,abhilashlahkar1,15,1.52299E+18,"Guwahati, Assam"
18,"RT @cskkanu: @TheSanjivKapoor What about this news article

Indian Men will not allow any kind of #MaleHatred now

We cannot accept your su…",2022-05-07 17:38:44+00:00,GSBorikar,488,1.52299E+18,"मुंबई, भारत"
19,RT @Amit16851728: @cskkanu @TheSanjivKapoor @IndiGo6E @airvistara @airindiain @GEAviation @vaastavngo @sifchandigarh @SFFNGO @DaamanNGO @si…,2022-05-07 17:38:40+00:00,GSBorikar,488,1.52299E+18,"मुंबई, भारत"
21,@IndiGo6E DELHI INDRA GANDHI INTERNATIONAL AIRPOAT MY FEVRIT AIRPOAT MY CITY 220 KILOMETER KASHIPUR UTTRAKHAND INDIA,2022-05-07 17:37:05+00:00,NousuK,5,1.52299E+18,"Riyadh, Kingdom of Saudi Arabi"
